Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'as')	 : 1	 : 0.00034112229234180454
('as', 'Navigation')	 : 1	 : 0.00034746351633078526
('Navigation', 'Mixte')	 : 6	 : 0.0012473271560940842
('Mixte', 'chairman')	 : 1	 : 0.0003563791874554526
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'he')	 : 10	 : 0.0014416775884665792
('he', 'is')	 : 9	 : 0.0017568517217146872
('is', 'prohibited')	 : 1	 : 0.00034524426031417227
('prohibited', 'by')	 : 1	 : 0.0003566969859104691
('by', 'takeover')	 : 3	 : 0.0006967427277477791
('takeover', 'regulations')	 : 1	 : 0.00035606195478013177
('regulations', 'from')	 : 1	 : 0.0003566333808844508
('from', 'organizing')	 : 1	 : 0.00035161744022503517
('organizing', 'his')	 : 1	 : 0.0003566969859104691
('his', 'own')	 : 4	 : 0.0008793527963418924
('own', 'defense')	 : 1	 : 0.00035606195478013177
('defense', 'or')	 : 1	 : 0.0003564427018356799
('or', 'doing')	 : 1	 : 0.00035323207347227127
('doing', 'anything')	 : 1	 : 0.00035650623885918
('anything', 'besides')	 : 1	 : 0.00035656979853806385
('besides', 'managing')	 : 1	 : 0.0003566969859104691
('managing', 'current')	 : 1	 : 0.00035656979853806385
('current', 'company')	 : 1	 : 0.00035568202027387515
('company', 'business')	 : 1	 : 0.0003476447071093343
('business', '.')	 : 1	 : 0.00035568202027387515
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'resignations')	 : 1	 : 0.0003473428273706148
('resignations', 'by')	 : 1	 : 0.0003566333808844508
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'two')	 : 5	 : 0.0008527572484366117
('two', 'executives')	 : 2	 : 0.0005322924059616749
('executives', ',')	 : 1	 : 0.0003559352197899982
(',', 'considered')	 : 1	 : 0.0002621231979030144
('considered', 'hard-charging')	 : 1	 : 0.00035650623885918
('hard-charging', 'and')	 : 1	 : 0.0003566969859104691
('and', 'abrasive')	 : 1	 : 0.0003183192742320548
('abrasive', 'by')	 : 1	 : 0.0003566969859104691
('by', 'Reebok')	 : 1	 : 0.00034837136387388956
('Reebok', 'insiders')	 : 1	 : 0.0003566333808844508
('insiders', ',')	 : 1	 : 0.0003566969859104691
(',', 'reflect')	 : 1	 : 0.0002621231979030144
('reflect', 'a')	 : 1	 : 0.0003566969859104691
('a', 'difference')	 : 1	 : 0.0003232062055591467
('difference', 'in')	 : 1	 : 0.0003566333808844508
('in', 'style')	 : 1	 : 0.00033528918692372173
('style', 'with')	 : 1	 : 0.0003566333808844508
('with', 'Paul')	 : 1	 : 0.00034995625546806647
('Paul', 'Fireman')	 : 2	 : 0.0005344735435595938
('Fireman', ',')	 : 2	 : 0.0005347593582887701
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', ',')	 : 18	 : 0.003278688524590164
(',', 'according')	 : 9	 : 0.001310615989515072
('according', 'to')	 : 9	 : 0.0017809439002671415
('to', 'several')	 : 2	 : 0.00047961630695443646
('several', 'former')	 : 1	 : 0.0003563156957063959
('former', 'executives')	 : 1	 : 0.0003550505947097461
('executives', '.')	 : 1	 : 0.0003559352197899982
('.', 'All')	 : 2	 : 0.0004542013626040878
('All', 'this')	 : 1	 : 0.0003566333808844508
('this', 'has')	 : 1	 : 0.00035106196243637
('has', 'cast')	 : 1	 : 0.00035112359550561797
('cast', 'a')	 : 2	 : 0.0005349500713266762
('a', 'pall')	 : 1	 : 0.0003232062055591467
('pall', 'over')	 : 1	 : 0.0003566969859104691
('over', 'Columbia')	 : 1	 : 0.00035542918073573843
('Columbia', 'Savings')	 : 1	 : 0.0003566333808844508
('Savings', '&')	 : 2	 : 0.0005347593582887701
('&', 'Loan')	 : 2	 : 0.0005313496280552603
('Loan', 'Association')	 : 2	 : 0.0005349500713266762
('Association', 'and')	 : 1	 : 0.00035612535612535614
('and', 'its')	 : 11	 : 0.0019099156453923284
('its', 'high-rolling')	 : 1	 : 0.0003487358326068004
('high-rolling', '43-year-old')	 : 1	 : 0.0003566969859104691
('43-year-old', 'chairman')	 : 1	 : 0.0003566969859104691
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'Thomas')	 : 4	 : 0.000655307994757536
('Thomas', 'Spiegel')	 : 2	 : 0.0005338078291814947
('Spiegel', ',')	 : 2	 : 0.0005349500713266762
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'built')	 : 1	 : 0.0003506311360448808
('built', 'the')	 : 1	 : 0.0003566333808844508
('the', '$')	 : 10	 : 0.0015633882888004549
('$', '12.7')	 : 1	 : 0.0003505082369435682
('12.7', 'billion')	 : 1	 : 0.0003566969859104691
('billion', 'Beverly')	 : 1	 : 0.00035536602700781805
('Beverly', 'Hills')	 : 1	 : 0.0003566969859104691
('Hills', ',')	 : 1	 : 0.0003566969859104691
(',', 'Calif.')	 : 4	 : 0.000655307994757536
('Calif.', ',')	 : 4	 : 0.00089126559714795
(',', 'thrift')	 : 1	 : 0.0002621231979030144
('thrift', 'with')	 : 1	 : 0.0003566333808844508
('with', 'high-yield')	 : 1	 : 0.00034995625546806647
('high-yield', 'junk')	 : 1	 : 0.0003566333808844508
('junk', 'bonds')	 : 3	 : 0.0007127583749109052
('bonds', '.')	 : 2	 : 0.0005345687811831789
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'One')	 : 1	 : 0.00034164673727365904
('One', 'possibility')	 : 1	 : 0.0003559352197899982
('possibility', 'is')	 : 2	 : 0.0005348546978070957
('is', 'that')	 : 8	 : 0.0015535991714137752
('that', 'this')	 : 1	 : 0.00034112229234180454
('this', 'is')	 : 3	 : 0.00070212392487274
('is', 'a')	 : 14	 : 0.002589331952356292
('a', 'surgical')	 : 1	 : 0.0003232062055591467
('surgical', 'setback')	 : 1	 : 0.0003566969859104691
('setback', ',')	 : 1	 : 0.0003566969859104691
(',', 'reasonably')	 : 1	 : 0.0002621231979030144
('reasonably', 'limited')	 : 1	 : 0.0003566333808844508
('limited', 'in')	 : 1	 : 0.0003566969859104691
('in', 'its')	 : 3	 : 0.0006705783738474435
('its', 'breadth')	 : 1	 : 0.0003487358326068004
('breadth', ',')	 : 1	 : 0.0003566333808844508
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'not')	 : 1	 : 0.0003183192742320548
('not', 'a')	 : 2	 : 0.0005329543435779002
('a', 'major')	 : 4	 : 0.0008080155138978668
('major', 'problem')	 : 1	 : 0.00035612535612535614
('problem', ',')	 : 2	 : 0.0005346640527535199
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'one')	 : 2	 : 0.0005095974180397486
('one', 'senior')	 : 1	 : 0.0003550505947097461
('senior', 'administration')	 : 1	 : 0.0003563791874554526
('administration', 'official')	 : 3	 : 0.0007121239095602635
('official', ',')	 : 1	 : 0.0003563156957063959
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'also')	 : 2	 : 0.0005259467040673212
('also', 'asked')	 : 1	 : 0.00035323207347227127
('asked', 'that')	 : 1	 : 0.0003562522265764161
('that', 'he')	 : 11	 : 0.0020467337540508272
('he', 'not')	 : 1	 : 0.00035137034434293746
('not', 'be')	 : 1	 : 0.0003553028957186001
('be', 'named')	 : 3	 : 0.0007000350017500875
('named', '.')	 : 1	 : 0.0003531696980399082
('.', 'His')	 : 8	 : 0.0013626040878122634
('His', 'massage')	 : 1	 : 0.0003562522265764161
('massage', 'chair')	 : 2	 : 0.0005346640527535199
('chair', 'is')	 : 2	 : 0.000533997864008544
('is', 'kept')	 : 1	 : 0.00034524426031417227
('kept', 'in')	 : 1	 : 0.00035656979853806385
('in', 'a')	 : 23	 : 0.00402347024308466
('a', 'closet')	 : 1	 : 0.0003232062055591467
('closet', ',')	 : 1	 : 0.0003566969859104691
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'a')	 : 24	 : 0.003978990927900684
('a', 'secretary')	 : 1	 : 0.0003232062055591467
('secretary', 'escorts')	 : 1	 : 0.0003563791874554526
('escorts', 'him')	 : 1	 : 0.0003566969859104691
('him', 'past')	 : 1	 : 0.00035587188612099647
('past', 'security')	 : 1	 : 0.0003563791874554526
('security', '.')	 : 1	 : 0.0003566333808844508
('.', 'Such')	 : 1	 : 0.0003028009084027252
('Such', 'risk')	 : 1	 : 0.0003566969859104691
('risk', 'taking')	 : 1	 : 0.00035656979853806385
('taking', 'is')	 : 1	 : 0.0003563156957063959
('is', 'an')	 : 4	 : 0.0008631106507854307
('an', 'everyday')	 : 1	 : 0.00035180299032541777
('everyday', 'matter')	 : 1	 : 0.0003566969859104691
('matter', 'for')	 : 1	 : 0.0003566333808844508
('for', 'the')	 : 40	 : 0.007115584866365845
('the', 'brash')	 : 1	 : 0.0002842524161455372
('brash', 'Mr.')	 : 1	 : 0.0003566969859104691
('Mr.', 'Nadir')	 : 1	 : 0.00034578146611341634
('Nadir', ',')	 : 2	 : 0.0005349500713266762
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'is')	 : 13	 : 0.0024544179523141654
('is', '25')	 : 1	 : 0.00034524426031417227
('25', '%')	 : 2	 : 0.0005348546978070957
('%', 'owner')	 : 1	 : 0.00035335689045936394
('owner', 'of')	 : 1	 : 0.0003566333808844508
('of', 'Polly')	 : 1	 : 0.0003056234718826406
('Polly', 'Peck')	 : 2	 : 0.0005349500713266762
('Peck', 'as')	 : 1	 : 0.0003566333808844508
('as', 'well')	 : 6	 : 0.0012161223071577485
('well', 'as')	 : 6	 : 0.001245995016019936
('as', 'its')	 : 1	 : 0.00034746351633078526
('its', 'chairman')	 : 9	 : 0.0017436791630340018
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'Two')	 : 1	 : 0.0003028009084027252
('Two', 'such')	 : 1	 : 0.0003566969859104691
('such', 'actions')	 : 1	 : 0.0003562522265764161
('actions', ',')	 : 1	 : 0.0003564427018356799
(',', 'both')	 : 2	 : 0.00039318479685452164
('both', 'filed')	 : 1	 : 0.0003563791874554526
('filed', 'earlier')	 : 1	 : 0.0003566333808844508
('earlier', 'this')	 : 4	 : 0.0008904719501335708
('this', 'year')	 : 7	 : 0.00140424784974548
('year', 'in')	 : 1	 : 0.000354735721887194
('in', 'Georgia')	 : 1	 : 0.00033528918692372173
('Georgia', 'state')	 : 1	 : 0.00035656979853806385
('state', 'court')	 : 1	 : 0.0003559352197899982
('court', 'in')	 : 1	 : 0.0003564427018356799
('in', 'Atlanta')	 : 1	 : 0.00033528918692372173
('Atlanta', ',')	 : 1	 : 0.0003566333808844508
(',', 'could')	 : 1	 : 0.0002621231979030144
('could', 'be')	 : 3	 : 0.0007103534008169064
('be', 'particularly')	 : 1	 : 0.00035001750087504374
('particularly', 'embarrassing')	 : 1	 : 0.00035650623885918
('embarrassing', 'to')	 : 1	 : 0.0003566969859104691
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'industry')	 : 4	 : 0.0007106310403638431
('industry', ':')	 : 1	 : 0.000355998576005696
(':', 'both')	 : 1	 : 0.0003551136363636364
('both', 'name')	 : 1	 : 0.0003563791874554526
('name', 'J.')	 : 1	 : 0.00035656979853806385
('J.', 'Chandler')	 : 1	 : 0.0003551136363636364
('Chandler', 'Peterson')	 : 1	 : 0.0003566969859104691
('Peterson', ',')	 : 1	 : 0.0003566969859104691
(',', 'an')	 : 13	 : 0.001834862385321101
('an', 'Atlanta')	 : 1	 : 0.00035180299032541777
('Atlanta', 'financial')	 : 1	 : 0.0003566333808844508
('financial', 'planner')	 : 1	 : 0.0003553028957186001
('planner', 'who')	 : 1	 : 0.0003566969859104691
('who', 'is')	 : 13	 : 0.0024544179523141654
('is', 'a')	 : 14	 : 0.002589331952356292
('a', 'founder')	 : 1	 : 0.0003232062055591467
('founder', 'and')	 : 4	 : 0.0008906305664410402
('and', 'past')	 : 2	 : 0.0004774789113480821
('past', 'chairman')	 : 2	 : 0.0005345687811831789
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'IAFP')	 : 1	 : 0.0002842524161455372
('IAFP', ',')	 : 1	 : 0.0003566969859104691
(',', 'as')	 : 11	 : 0.0015727391874180866
('as', 'defendant')	 : 1	 : 0.00034746351633078526
('defendant', '.')	 : 1	 : 0.0003566969859104691
('.', 'Navigation')	 : 2	 : 0.0004542013626040878
('Navigation', 'Mixte')	 : 6	 : 0.0012473271560940842
('Mixte', 'said')	 : 1	 : 0.0003563791874554526
('said', 'it')	 : 20	 : 0.0035671819262782403
('it', 'would')	 : 4	 : 0.0008765778401122019
('would', "n't")	 : 9	 : 0.0017568517217146872
("n't", 'have')	 : 2	 : 0.000526685393258427
('have', 'any')	 : 1	 : 0.00035310734463276836
('any', 'comment')	 : 1	 : 0.0003551767004084532
('comment', 'until')	 : 1	 : 0.00035612535612535614
('until', 'its')	 : 1	 : 0.00035568202027387515
('its', 'board')	 : 34	 : 0.006102877070619006
('board', 'meets')	 : 1	 : 0.0003348961821835231
('meets', 'Wednesday')	 : 1	 : 0.00035656979853806385
('Wednesday', '.')	 : 1	 : 0.0003566333808844508
('.', 'Brush')	 : 1	 : 0.0003028009084027252
('Brush', 'Wellman')	 : 1	 : 0.0003566969859104691
('Wellman', 'Inc.')	 : 1	 : 0.0003566969859104691
('Inc.', 'said')	 : 8	 : 0.001590949266395616
('said', 'its')	 : 21	 : 0.00373704773229149
('its', 'board')	 : 34	 : 0.006102877070619006
('board', 'increased')	 : 3	 : 0.0006697923643670462
('increased', 'the')	 : 1	 : 0.0003564427018356799
('the', 'number')	 : 5	 : 0.0008527572484366117
('number', 'of')	 : 9	 : 0.0017806267806267807
('of', 'shares')	 : 1	 : 0.0003056234718826406
('shares', 'of')	 : 2	 : 0.0005326704545454545
('of', 'common')	 : 1	 : 0.0003056234718826406
('common', 'stock')	 : 5	 : 0.0010674257249599715
('stock', 'to')	 : 1	 : 0.00035423308537017357
('to', 'be')	 : 28	 : 0.004636290967226219
('be', 'purchased')	 : 1	 : 0.00035001750087504374
('purchased', 'under')	 : 1	 : 0.0003566333808844508
('under', 'a')	 : 2	 : 0.0005334281650071124
('a', 'previously')	 : 1	 : 0.0003232062055591467
('previously', 'authorized')	 : 1	 : 0.00035650623885918
('authorized', 'program')	 : 1	 : 0.0003563156957063959
('program', 'to')	 : 1	 : 0.000355998576005696
('to', '3.9')	 : 1	 : 0.000319744204636291
('3.9', 'million')	 : 1	 : 0.0003566969859104691
('million', 'from')	 : 3	 : 0.0007069635913750442
('from', '2.9')	 : 1	 : 0.00035161744022503517
('2.9', 'million')	 : 1	 : 0.0003566969859104691
('million', '.')	 : 8	 : 0.0015906680805938495
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'a')	 : 11	 : 0.0021238938053097347
('a', 'recent')	 : 2	 : 0.0004848093083387201
('recent', 'investment')	 : 1	 : 0.000355998576005696
('investment', 'letter')	 : 1	 : 0.0003551136363636364
('letter', 'entitled')	 : 1	 : 0.00035618878005342833
('entitled', '``')	 : 1	 : 0.0003566969859104691
('``', 'Winners')	 : 1	 : 0.00034164673727365904
('Winners', 'of')	 : 1	 : 0.0003566969859104691
('of', 'the')	 : 266	 : 0.040800733496332516
('the', '`')	 : 2	 : 0.00042637862421830583
('`', 'Leverage')	 : 1	 : 0.00035656979853806385
('Leverage', 'Wars')	 : 1	 : 0.0003566969859104691
('Wars', ',')	 : 1	 : 0.0003566969859104691
(',', "'")	 : 2	 : 0.00039318479685452164
("'", "''")	 : 2	 : 0.0005330490405117271
("''", 'Edward')	 : 2	 : 0.000513083632632119
('Edward', 'Kerschner')	 : 1	 : 0.0003562522265764161
('Kerschner', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'PaineWebber')	 : 1	 : 0.0003056234718826406
('PaineWebber', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'investment')	 : 2	 : 0.000500751126690035
('investment', 'policy')	 : 2	 : 0.0005326704545454545
('policy', 'committee')	 : 2	 : 0.0005345687811831789
('committee', ',')	 : 4	 : 0.0008876264867743654
(',', 'suggested')	 : 1	 : 0.0002621231979030144
('suggested', 'that')	 : 2	 : 0.0005346640527535199
('that', 'investors')	 : 1	 : 0.00034112229234180454
('investors', 'buy')	 : 1	 : 0.0003559352197899982
('buy', 'stocks')	 : 1	 : 0.00035612535612535614
('stocks', 'of')	 : 1	 : 0.0003563791874554526
('of', 'companies')	 : 2	 : 0.0004584352078239609
('companies', 'that')	 : 2	 : 0.0005337128624799857
('that', 'have')	 : 2	 : 0.0005116834385127068
('have', 'avoided')	 : 1	 : 0.00035310734463276836
('avoided', 'loading')	 : 1	 : 0.0003566969859104691
('loading', 'up')	 : 1	 : 0.0003566969859104691
('up', 'on')	 : 1	 : 0.000354735721887194
('on', 'debt')	 : 1	 : 0.00034746351633078526
('debt', '.')	 : 1	 : 0.00035656979853806385
('.', 'Nevertheless')	 : 2	 : 0.0004542013626040878
('Nevertheless', ',')	 : 2	 : 0.0005349500713266762
(',', 'Fed')	 : 3	 : 0.0005242463958060288
('Fed', 'Chairman')	 : 3	 : 0.0007111111111111111
('Chairman', 'Greenspan')	 : 3	 : 0.0007116171499733144
('Greenspan', 'and')	 : 3	 : 0.0007126313914127917
('and', 'Vice')	 : 2	 : 0.0004774789113480821
('Vice', 'Chairman')	 : 3	 : 0.00071301247771836
('Chairman', 'Manuel')	 : 2	 : 0.0005337128624799857
('Manuel', 'Johnson')	 : 2	 : 0.0005348546978070957
('Johnson', 'were')	 : 1	 : 0.0003563791874554526
('were', 'in')	 : 1	 : 0.00035373187124159886
('in', 'their')	 : 3	 : 0.0006705783738474435
('their', 'offices')	 : 1	 : 0.0003553028957186001
('offices', 'Sunday')	 : 1	 : 0.0003566333808844508
('Sunday', 'evening')	 : 1	 : 0.00035656979853806385
('evening', ',')	 : 2	 : 0.0005348546978070957
(',', 'monitoring')	 : 1	 : 0.0002621231979030144
('monitoring', 'events')	 : 1	 : 0.0003566969859104691
('events', 'as')	 : 1	 : 0.00035656979853806385
('as', 'they')	 : 3	 : 0.0006949270326615705
('they', 'unfolded')	 : 1	 : 0.0003541703559412077
('unfolded', 'in')	 : 1	 : 0.0003566969859104691
('in', 'markets')	 : 1	 : 0.00033528918692372173
('markets', 'around')	 : 1	 : 0.000355998576005696
('around', 'the')	 : 6	 : 0.0012457732692649937
('the', 'world')	 : 3	 : 0.0005685048322910744
('world', '.')	 : 3	 : 0.00071301247771836
('.', 'Liability')	 : 1	 : 0.0003028009084027252
('Liability', 'in')	 : 1	 : 0.0003566969859104691
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'bridge')	 : 1	 : 0.0002842524161455372
('bridge', 'and')	 : 1	 : 0.00035650623885918
('and', 'road')	 : 2	 : 0.0004774789113480821
('road', 'collapses')	 : 1	 : 0.0003537944454272068
('collapses', 'will')	 : 1	 : 0.0003566969859104691
('will', 'revolve')	 : 1	 : 0.00034965034965034965
('revolve', 'around')	 : 1	 : 0.0003566969859104691
('around', 'whether')	 : 1	 : 0.0003559352197899982
('whether', 'government')	 : 1	 : 0.0003563156957063959
('government', 'took')	 : 1	 : 0.0003559352197899982
('took', '``')	 : 1	 : 0.000355998576005696
('``', 'reasonable')	 : 1	 : 0.00034164673727365904
('reasonable', 'care')	 : 1	 : 0.00035650623885918
('care', "''")	 : 1	 : 0.0003566333808844508
("''", 'to')	 : 4	 : 0.0008551393877201984
('to', 'build')	 : 3	 : 0.000639488409272582
('build', 'and')	 : 1	 : 0.0003564427018356799
('and', 'maintain')	 : 1	 : 0.0003183192742320548
('maintain', 'the')	 : 2	 : 0.0005347593582887701
('the', 'structures')	 : 1	 : 0.0002842524161455372
('structures', ',')	 : 1	 : 0.0003566969859104691
(',', 'says')	 : 12	 : 0.0017038007863695937
('says', 'John')	 : 2	 : 0.0005298481102084069
('John', 'Messina')	 : 1	 : 0.0003540449637103912
('Messina', ',')	 : 1	 : 0.0003566969859104691
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'Tacoma')	 : 1	 : 0.0003232062055591467
('Tacoma', ',')	 : 1	 : 0.0003566969859104691
(',', 'Wash.')	 : 1	 : 0.0002621231979030144
('Wash.', ',')	 : 1	 : 0.0003566969859104691
(',', 'personal-injury')	 : 1	 : 0.0002621231979030144
('personal-injury', 'attorney')	 : 1	 : 0.0003566969859104691
('attorney', 'who')	 : 2	 : 0.0005346640527535199
('who', 'specializes')	 : 1	 : 0.0003506311360448808
('specializes', 'in')	 : 1	 : 0.0003566969859104691
('in', 'highway')	 : 1	 : 0.00033528918692372173
('highway', 'design')	 : 1	 : 0.00035650623885918
('design', 'and')	 : 1	 : 0.00035656979853806385
('and', 'maintenance')	 : 1	 : 0.0003183192742320548
('maintenance', 'cases')	 : 1	 : 0.00035656979853806385
('cases', '.')	 : 1	 : 0.0003566333808844508
('.', 'Robert')	 : 7	 : 0.0012112036336109008
('Robert', 'L.')	 : 3	 : 0.0007084661707403471
('L.', 'Wood')	 : 1	 : 0.0003553028957186001
('Wood', ',')	 : 1	 : 0.0003566969859104691
(',', '37-year-old')	 : 1	 : 0.0002621231979030144
('37-year-old', 'chief')	 : 1	 : 0.0003566969859104691
('chief', 'financial')	 : 7	 : 0.0013802622498274672
('financial', 'officer')	 : 6	 : 0.0012435601350151003
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'named')	 : 42	 : 0.007438159487977858
('named', 'chairman')	 : 13	 : 0.002472187886279357
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'independent')	 : 1	 : 0.00035106196243637
('independent', 'power')	 : 1	 : 0.00035587188612099647
('power', 'producer')	 : 1	 : 0.00035618878005342833
('producer', ',')	 : 1	 : 0.0003566333808844508
(',', 'succeeding')	 : 9	 : 0.001310615989515072
('succeeding', 'Raymond')	 : 1	 : 0.00035618878005342833
('Raymond', 'L.')	 : 1	 : 0.00035650623885918
('L.', 'Hixson')	 : 1	 : 0.0003553028957186001
('Hixson', ',')	 : 1	 : 0.0003566969859104691
(',', '63')	 : 5	 : 0.0007863695937090433
('63', '.')	 : 1	 : 0.0003564427018356799
('.', 'c')	 : 1	 : 0.0003028009084027252
('c', '-')	 : 1	 : 0.0003566969859104691
('-', 'Translated')	 : 1	 : 0.0003563791874554526
